"incubationID","sampleID","tripID","startDate","dateKilled","timeKilled","depth","t","durationInDays","durationSinceTimepointInDays","filtered","amendment","treatment","MeHg_ambient_ppt","MeHg_198_ppt","MeHg_204_ppt","MeHg_excess_DDL","MeHg_DOA","MeHg_198_above_DDL","bottleID_MeHg","HgT_ambient_ppt","HgT_198_ppt","HgT_204_ppt","HgT_excess_DDL","HgT_DOA","bottleID_HgT","percent_amb_MeHg","percent_198_MeHg","percent_204_MeHg"
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:47",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",0.757,-0.003,1.025,0.012,"2020-11-12",FALSE,"MSC587AR",2.105,0.788,0.99,0.072,"2021-02-23","MSC587AR",35.9619952494062,-0.380710659898477,103.535353535354
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:42",20.7,"t1",0.871528,0.871528,"no","unamended","unfiltered-unamended",0.594,0.088,0.708,0.007,"2021-01-15",TRUE,"MSC726AV",1.766,0.672,0.95,0.044,"2021-02-20","MSC726AV",33.6353340883352,13.0952380952381,74.5263157894737
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:06",20.7,"t2",3.471528,2.6,"no","unamended","unfiltered-unamended",0.663,0.205,0.747,0.011,"2020-11-12",TRUE,"MSC746AV",3.794,0.373,0.753,0.118,"2021-02-22","MSC746AV",17.4749604638904,54.9597855227882,99.203187250996
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:43",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.771,0,1.049,0.007,"2021-01-13",FALSE,"MSC586AR",3.052,0.862,1.075,0.086,"2021-02-04","MSC586AR",25.262123197903,0,97.5813953488372
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:45",20.7,"t1",0.876389,0.876389,"no","molybdate","unfiltered-molybdate",0.76,0.031,0.932,0.01,"2021-01-15",TRUE,"MSC727AV",1.948,0.791,0.943,0.058,"2021-02-19","MSC727AV",39.0143737166324,3.91908975979772,98.8335100742312
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","12:55",20.7,"t2",3.466667,2.590278,"no","molybdate","unfiltered-molybdate",0.903,0.12,1.017,0.014,"2020-11-12",TRUE,"MSC745AV",1.732,0.591,0.861,0.059,"2021-02-23","MSC745AV",52.1362586605081,20.3045685279188,118.118466898955
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:40",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",0.569,-0.004,0.758,0.008,"2021-01-14",FALSE,"MSC585AR",2.649,0.79,0.959,0.067,"2021-02-20","MSC585AR",21.4798036995092,-0.506329113924051,79.0406673618352
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:32",20.7,"t1",0.869444,0.869444,"no","unamended","unfiltered-unamended",0.545,0.061,0.699,0.008,"2021-01-14",TRUE,"MSC723AV",1.826,0.679,0.914,0.057,"2021-02-22","MSC723AV",29.8466593647317,8.98379970544919,76.4770240700219
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:18",20.7,"t2",3.484722,2.615278,"no","unamended","unfiltered-unamended",0.576,0.142,0.643,0.007,"2021-01-15",TRUE,"MSC749AV",1.339,0.472,0.79,0.04,"2021-02-19","MSC749AV",43.0171769977595,30.0847457627119,81.3924050632911
"BLI20_MA_004","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:53",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.641,0,0.926,0.009,"2021-01-14",FALSE,"MSC589AR",2.801,0.815,0.957,0.087,"2021-02-22","MSC589AR",22.8846840414138,0,96.760710553814
