sulfurID,S_conc_uM,sampleID,tripID,depth,startDate,depthOriginal,corewater
BLI20_TS_004,59.8,BLiMMP_sample_0039,BLiMMP_trip_009,21.8,2020-08-14,21.8,FALSE
BLI20_TS_005,35.8,BLiMMP_sample_0040,BLiMMP_trip_009,19.3,2020-08-14,19.3,FALSE
BLI20_TS_006,13.3,BLiMMP_sample_0041,BLiMMP_trip_009,15.5,2020-08-14,15.5,FALSE
BLI20_TS_007,45.9,BLiMMP_sample_0042,BLiMMP_trip_009,23.8,2020-08-14,0-20,TRUE
BLI20_TS_008,45.6,BLiMMP_sample_0043,BLiMMP_trip_009,23.6,2020-08-14,20-40,TRUE
BLI20_TS_009,28.5,BLiMMP_sample_0044,BLiMMP_trip_009,23.41,2020-08-14,40-59,TRUE
BLI20_TS_010,25,BLiMMP_sample_0045,BLiMMP_trip_009,23.23,2020-08-14,59-77,TRUE
BLI20_TS_011,94.2,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,20.7,FALSE
BLI20_TS_012,69.7,BLiMMP_sample_0047,BLiMMP_trip_010,18.1,2020-09-02,18.1,FALSE
BLI20_TS_013,36.1,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,15.5,FALSE
BLI20_TS_014,23,BLiMMP_sample_0049,BLiMMP_trip_010,13.2,2020-09-02,13.2,FALSE
BLI20_TS_015,15.7,BLiMMP_sample_0050,BLiMMP_trip_010,11.0,2020-09-02,11.0,FALSE
BLI20_TS_016,5.38,BLiMMP_sample_0051,BLiMMP_trip_010,9.4,2020-09-02,9.4,FALSE
BLI20_TS_079,103,BLiMMP_sample_0052,BLiMMP_trip_011,20.1,2020-09-17,20.1,FALSE
BLI20_TS_080,38.7,BLiMMP_sample_0053,BLiMMP_trip_011,14.1,2020-09-17,14.1,FALSE
BLI20_TS_081,111,BLiMMP_sample_0054,BLiMMP_trip_012,22.2,2020-09-24,22.2,FALSE
BLI20_TS_082,107,BLiMMP_sample_0055,BLiMMP_trip_012,20.2,2020-09-24,20.2,FALSE
BLI20_TS_083,91.1,BLiMMP_sample_0056,BLiMMP_trip_012,18.2,2020-09-24,18.2,FALSE
BLI20_TS_084,65.5,BLiMMP_sample_0057,BLiMMP_trip_012,16.2,2020-09-24,16.2,FALSE
BLI20_TS_086,108,BLiMMP_sample_0058,BLiMMP_trip_012,23.16,2020-09-24,63-84,TRUE
BLI20_TS_087,83.4,BLiMMP_sample_0059,BLiMMP_trip_012,23.37,2020-09-24,42-63,TRUE
BLI20_TS_088,77.5,BLiMMP_sample_0060,BLiMMP_trip_012,23.58,2020-09-24,21-42,TRUE
BLI20_TS_089,87.6,BLiMMP_sample_0061,BLiMMP_trip_012,23.79,2020-09-24,0-21,TRUE
