"sampledate","depth","do_raw"
2020-03-31,1,17.63
2020-03-31,2,17.63
2020-03-31,3,17.61
2020-03-31,4,17.59
2020-03-31,5,17.55
2020-03-31,6,17.55
2020-03-31,7,17.5
2020-03-31,8,17.49
2020-03-31,9,17.49
2020-03-31,10,17.46
2020-03-31,11,17.43
2020-03-31,12,17.42
2020-03-31,13,17.45
2020-03-31,14,17.43
2020-03-31,15,17.37
2020-03-31,16,17.36
2020-03-31,17,17.32
2020-03-31,18,17.29
2020-03-31,19,17.28
2020-03-31,20,17.23
2020-04-24,0,13.58
2020-04-24,1,13.61
2020-04-24,2,13.59
2020-04-24,3,13.47
2020-04-24,4,13.28
2020-04-24,5,13.04
2020-04-24,6,13.01
2020-04-24,7,13
2020-04-24,8,12.98
2020-04-24,9,12.96
2020-04-24,10,12.95
2020-04-24,11,12.93
2020-04-24,12,12.91
2020-04-24,13,12.89
2020-04-24,14,12.86
2020-04-24,15,12.84
2020-04-24,16,12.84
2020-04-24,17,12.79
2020-04-24,18,12.7
2020-04-24,19,12.55
2020-04-24,20,12.47
2020-05-01,0,13.02
2020-05-01,1,13
2020-05-01,2,12.97
2020-05-01,3,12.81
2020-05-01,4,12.15
2020-05-01,5,12.1
2020-05-01,6,12.03
2020-05-01,7,12
2020-05-01,8,12
2020-05-01,9,11.97
2020-05-01,10,11.95
2020-05-01,11,11.93
2020-05-01,12,11.9
2020-05-01,13,11.89
2020-05-01,14,11.89
2020-05-01,15,11.88
2020-05-01,16,11.85
2020-05-01,17,11.76
2020-05-01,18,11.73
2020-05-01,19,11.7
2020-05-01,20,11.7
2020-05-06,0,12.53
2020-05-06,1,13.36
2020-05-06,2,13.08
2020-05-06,3,12.5
2020-05-06,4,12.19
2020-05-06,5,12.07
2020-05-06,6,11.99
2020-05-06,7,11.97
2020-05-06,8,11.93
2020-05-06,9,11.87
2020-05-06,10,11.86
2020-05-06,11,11.67
2020-05-06,12,11.55
2020-05-06,13,11.39
2020-05-06,14,11.1
2020-05-06,15,11.04
2020-05-06,16,10.96
2020-05-06,17,10.86
2020-05-06,18,10.7
2020-05-06,19,10.58
2020-05-06,20,9.97
2020-05-12,0,11.55
2020-05-12,1,11.6
2020-05-12,2,11.63
2020-05-12,3,11.54
2020-05-12,4,11.33
2020-05-12,5,11.19
2020-05-12,6,11.09
2020-05-12,7,11.05
2020-05-12,8,11
2020-05-12,9,10.97
2020-05-12,10,10.95
2020-05-12,11,10.93
2020-05-12,12,10.91
2020-05-12,13,10.9
2020-05-12,14,10.9
2020-05-12,15,10.89
2020-05-12,16,10.87
2020-05-12,17,10.86
2020-05-12,18,10.84
2020-05-12,19,10.83
2020-05-12,20,10.8
2020-05-22,0,9.49
2020-05-22,1,9.42
2020-05-22,2,9.41
2020-05-22,3,9.37
2020-05-22,4,9.34
2020-05-22,5,9.32
2020-05-22,6,9.31
2020-05-22,7,9.21
2020-05-22,8,9.25
2020-05-22,9,9.29
2020-05-22,10,9.36
2020-05-22,11,9.34
2020-05-22,12,9.2
2020-05-22,13,9.14
2020-05-22,14,9.13
2020-05-22,15,9.09
2020-05-22,16,9.07
2020-05-22,17,8.98
2020-05-22,18,8.56
2020-05-22,19,8.16
2020-05-22,20,8.11
2020-05-27,0,9.03
2020-05-27,1,9.06
2020-05-27,2,9.06
2020-05-27,3,9.01
2020-05-27,4,9.02
2020-05-27,5,9
2020-05-27,6,8.91
2020-05-27,7,8.9
2020-05-27,8,8.89
2020-05-27,9,8.53
2020-05-27,10,8.43
2020-05-27,11,8.46
2020-05-27,12,8.51
2020-05-27,13,8.01
2020-05-27,14,8.02
2020-05-27,15,7.8
2020-05-27,16,8.43
2020-05-27,17,7.96
2020-05-27,18,7.41
2020-05-27,19,7.22
2020-05-27,20,6.81
2020-06-04,0,9.73
2020-06-04,1,9.74
2020-06-04,2,9.84
2020-06-04,3,9.82
2020-06-04,4,9.65
2020-06-04,5,9.48
2020-06-04,6,9.42
2020-06-04,7,8.96
2020-06-04,8,8.45
2020-06-04,9,8.13
2020-06-04,10,7.7
2020-06-04,11,7.73
2020-06-04,12,6.95
2020-06-04,13,6.97
2020-06-04,14,6.22
2020-06-04,15,6.15
2020-06-04,16,6.14
2020-06-04,17,4.7
2020-06-04,18,3.52
2020-06-04,19,3.05
2020-06-04,20,2.62
2020-06-10,0,9.57
2020-06-10,1,9.75
2020-06-10,2,9.65
2020-06-10,3,9.58
2020-06-10,4,9.36
2020-06-10,5,9.2
2020-06-10,6,8.51
2020-06-10,7,8.23
2020-06-10,8,7.46
2020-06-10,9,6.17
2020-06-10,10,5.32
2020-06-10,11,5.26
2020-06-10,12,5.23
2020-06-10,13,5.29
2020-06-10,14,5.3
2020-06-10,15,5.2
2020-06-10,16,4.85
2020-06-10,17,4.56
2020-06-10,18,4.26
2020-06-10,19,2.74
2020-06-10,20,2.73
2020-06-18,0,10.37
2020-06-18,1,10.66
2020-06-18,2,10.78
2020-06-18,3,9.91
2020-06-18,4,9.83
2020-06-18,5,9.74
2020-06-18,6,9.6
2020-06-18,7,9.24
2020-06-18,8,8.57
2020-06-18,9,7.82
2020-06-18,10,6.58
2020-06-18,11,5.18
2020-06-18,12,4.71
2020-06-18,13,3.88
2020-06-18,14,3.62
2020-06-18,15,3.06
2020-06-18,16,3.07
2020-06-18,17,2.55
2020-06-18,18,1.92
2020-06-18,19,0.68
2020-06-18,20,0.79
2020-06-25,0,12.22
2020-06-25,1,12.8
2020-06-25,2,11.5
2020-06-25,3,10.94
2020-06-25,4,10.68
2020-06-25,5,10.5
2020-06-25,6,10.29
2020-06-25,7,7.24
2020-06-25,8,6.73
2020-06-25,9,5.93
2020-06-25,10,4.88
2020-06-25,11,4.45
2020-06-25,12,4.13
2020-06-25,13,2.52
2020-06-25,14,2.36
2020-06-25,15,2.55
2020-06-25,16,1.38
2020-06-25,17,0.92
2020-06-25,18,0.68
2020-06-25,19,0.69
2020-06-25,20,0.7
2020-07-02,0,13.68
2020-07-02,1,14.05
2020-07-02,2,13.77
2020-07-02,3,12.1
2020-07-02,4,9.64
2020-07-02,5,8.28
2020-07-02,6,7.1
2020-07-02,7,6.23
2020-07-02,8,5.43
2020-07-02,9,4.14
2020-07-02,10,3.09
2020-07-02,11,2.82
2020-07-02,12,2.58
2020-07-02,13,2.27
2020-07-02,14,2
2020-07-02,15,1.58
2020-07-02,16,1.3
2020-07-02,17,1.24
2020-07-02,18,1.28
2020-07-02,19,1.32
2020-07-02,20,1.38
2020-07-11,0,NA
2020-07-11,1,NA
2020-07-11,2,NA
2020-07-11,3,NA
2020-07-11,4,NA
2020-07-11,5,NA
2020-07-11,6,NA
2020-07-11,7,NA
2020-07-11,8,NA
2020-07-11,9,NA
2020-07-11,10,NA
2020-07-11,11,NA
2020-07-11,12,NA
2020-07-11,13,NA
2020-07-11,14,NA
2020-07-11,15,NA
2020-07-11,16,NA
2020-07-11,17,NA
2020-07-11,18,NA
2020-07-11,19,NA
2020-07-11,20,NA
2020-07-16,0,9.3
2020-07-16,1,9.93
2020-07-16,2,9.14
2020-07-16,3,8.55
2020-07-16,4,8.23
2020-07-16,5,8.12
2020-07-16,6,7.76
2020-07-16,7,1.27
2020-07-16,8,1.26
2020-07-16,9,1.05
2020-07-16,10,0.66
2020-07-16,11,0.28
2020-07-16,12,0.16
2020-07-16,13,0.16
2020-07-16,14,0.17
2020-07-16,15,0.17
2020-07-16,16,0.18
2020-07-16,17,0.18
2020-07-16,18,0.19
2020-07-16,19,0.2
2020-07-16,20,0.21
2020-07-24,0,12.08
2020-07-24,1,12.02
2020-07-24,2,10.67
2020-07-24,3,9.72
2020-07-24,4,9.35
2020-07-24,5,9
2020-07-24,6,8.41
2020-07-24,7,5.83
2020-07-24,8,-0.1
2020-07-24,9,-0.12
2020-07-24,10,-0.14
2020-07-24,11,-0.15
2020-07-24,12,-0.15
2020-07-24,13,-0.17
2020-07-24,14,-0.18
2020-07-24,15,-0.18
2020-07-24,16,-0.19
2020-07-24,17,-0.19
2020-07-24,18,-0.19
2020-07-24,19,-0.19
2020-07-24,20,-0.18
2020-07-24,23.5,-0.16
2020-07-29,0,10.07
2020-07-29,1,10.7
2020-07-29,2,10.18
2020-07-29,3,9.08
2020-07-29,4,8.58
2020-07-29,5,8.57
2020-07-29,6,8.3
2020-07-29,7,8.15
2020-07-29,8,2.8
2020-07-29,9,-0.09
2020-07-29,10,-0.1
2020-07-29,11,-0.11
2020-07-29,12,-0.11
2020-07-29,13,-0.12
2020-07-29,14,-0.13
2020-07-29,15,-0.13
2020-07-29,16,-0.14
2020-07-29,17,-0.14
2020-07-29,18,-0.13
2020-07-29,19,-0.13
2020-07-29,20,-0.13
2020-07-29,23.5,-0.11
2020-08-05,0,10.16
2020-08-05,1,10.17
2020-08-05,2,9.78
2020-08-05,3,9.17
2020-08-05,4,8.38
2020-08-05,5,8.37
2020-08-05,6,8.28
2020-08-05,7,8.19
2020-08-05,8,8.13
2020-08-05,9,7.91
2020-08-05,10,-0.07
2020-08-05,11,-0.08
2020-08-05,12,-0.11
2020-08-05,13,-0.11
2020-08-05,14,-0.12
2020-08-05,15,-0.12
2020-08-05,16,-0.12
2020-08-05,17,-0.11
2020-08-05,18,-0.11
2020-08-05,19,-0.11
2020-08-05,20,-0.1
2020-08-05,23.5,-0.09
2020-08-12,0,12.26
2020-08-12,1,12.39
2020-08-12,2,11.63
2020-08-12,3,10.52
2020-08-12,4,9.51
2020-08-12,5,7.9
2020-08-12,6,7.92
2020-08-12,7,7.88
2020-08-12,8,7.78
2020-08-12,9,0.41
2020-08-12,10,-0.07
2020-08-12,11,-0.07
2020-08-12,12,-0.08
2020-08-12,13,-0.09
2020-08-12,14,-0.09
2020-08-12,15,-0.1
2020-08-12,16,-0.09
2020-08-12,17,-0.09
2020-08-12,18,-0.09
2020-08-12,19,-0.08
2020-08-12,20,-0.08
2020-08-12,23.5,-0.07
2020-08-18,0,11.26
2020-08-18,1,11.26
2020-08-18,2,10.82
2020-08-18,3,9.82
2020-08-18,4,9.27
2020-08-18,5,9.45
2020-08-18,6,9.29
2020-08-18,7,8.7
2020-08-18,8,4.29
2020-08-18,9,-0.01
2020-08-18,10,-0.05
2020-08-18,11,-0.08
2020-08-18,12,-0.09
2020-08-18,13,-0.09
2020-08-18,14,-0.1
2020-08-18,15,-0.1
2020-08-18,16,-0.11
2020-08-18,17,-0.11
2020-08-18,18,-0.1
2020-08-18,19,-0.1
2020-08-18,20,-0.09
2020-08-18,23.5,-0.09
2020-08-25,0,10.1
2020-08-25,1,10.25
2020-08-25,2,10.26
2020-08-25,3,9.96
2020-08-25,4,9.45
2020-08-25,5,9.36
2020-08-25,6,8.96
2020-08-25,7,7.08
2020-08-25,8,3.69
2020-08-25,9,3.65
2020-08-25,10,-0.04
2020-08-25,11,-0.07
2020-08-25,12,-0.08
2020-08-25,13,-0.08
2020-08-25,14,-0.09
2020-08-25,15,-0.09
2020-08-25,16,-0.09
2020-08-25,17,-0.09
2020-08-25,18,-0.09
2020-08-25,19,-0.09
2020-08-25,20,-0.08
2020-08-25,23.5,-0.07
2020-09-01,0,8.56
2020-09-01,1,8.53
2020-09-01,2,8.06
2020-09-01,3,7.83
2020-09-01,4,7.64
2020-09-01,5,7.56
2020-09-01,6,7.54
2020-09-01,7,7.57
2020-09-01,8,7.63
2020-09-01,9,7.52
2020-09-01,10,-0.04
2020-09-01,11,-0.07
2020-09-01,12,-0.08
2020-09-01,13,-0.08
2020-09-01,14,-0.08
2020-09-01,15,-0.08
2020-09-01,16,-0.08
2020-09-01,17,-0.08
2020-09-01,18,-0.08
2020-09-01,19,-0.08
2020-09-01,20,-0.07
2020-09-01,23.5,-0.05
2020-09-11,0,8
2020-09-11,1,7.98
2020-09-11,2,7.94
2020-09-11,3,7.96
2020-09-11,4,7.93
2020-09-11,5,7.9
2020-09-11,6,7.89
2020-09-11,7,7.85
2020-09-11,8,7.83
2020-09-11,9,7.77
2020-09-11,10,7.62
2020-09-11,11,6.2
2020-09-11,12,-0.06
2020-09-11,13,-0.07
2020-09-11,14,-0.07
2020-09-11,15,-0.08
2020-09-11,16,-0.08
2020-09-11,17,-0.08
2020-09-11,18,-0.07
2020-09-11,19,-0.07
2020-09-11,20,-0.06
2020-09-11,23.5,-0.04
2020-09-17,0,10.67
2020-09-17,1,10.64
2020-09-17,2,10.41
2020-09-17,3,10.01
2020-09-17,4,9.82
2020-09-17,5,9.69
2020-09-17,6,9.7
2020-09-17,7,9.68
2020-09-17,8,9.6
2020-09-17,9,9.56
2020-09-17,10,9.51
2020-09-17,11,9.14
2020-09-17,12,3.06
2020-09-17,13,-0.05
2020-09-17,14,-0.07
2020-09-17,15,-0.06
2020-09-17,16,-0.06
2020-09-17,17,-0.06
2020-09-17,18,-0.06
2020-09-17,19,-0.06
2020-09-17,20,-0.06
2020-09-17,23.5,-0.04
2020-10-02,0,10.06
2020-10-02,1,10.77
2020-10-02,2,9.6
2020-10-02,3,8.95
2020-10-02,4,8.74
2020-10-02,5,8.73
2020-10-02,6,8.98
2020-10-02,7,8.97
2020-10-02,8,8.87
2020-10-02,9,8.77
2020-10-02,10,8.65
2020-10-02,11,8.66
2020-10-02,12,8.66
2020-10-02,13,8.4
2020-10-02,14,6.31
2020-10-02,15,-0.04
2020-10-02,16,-0.05
2020-10-02,17,-0.05
2020-10-02,18,-0.05
2020-10-02,19,-0.05
2020-10-02,20,-0.04
2020-10-02,23.5,-0.01
2020-10-08,0,9.7
2020-10-08,1,9.66
2020-10-08,2,9.49
2020-10-08,3,9.2
2020-10-08,4,9.11
2020-10-08,5,8.98
2020-10-08,6,8.95
2020-10-08,7,8.91
2020-10-08,8,8.83
2020-10-08,9,8.81
2020-10-08,10,8.78
2020-10-08,11,8.75
2020-10-08,12,8.69
2020-10-08,13,8.61
2020-10-08,14,8.23
2020-10-08,15,3.96
2020-10-08,16,0.1
2020-10-08,17,-0.05
2020-10-08,18,-0.04
2020-10-08,19,-0.04
2020-10-08,20,-0.04
2020-10-08,23.5,-0.01
2020-10-19,0,7.32
2020-10-19,1,7.28
2020-10-19,2,7.28
2020-10-19,3,7.27
2020-10-19,4,7.24
2020-10-19,5,7.25
2020-10-19,6,7.33
2020-10-19,7,7.26
2020-10-19,8,7.23
2020-10-19,9,7.21
2020-10-19,10,7.23
2020-10-19,11,7.26
2020-10-19,12,7.31
2020-10-19,13,7.36
2020-10-19,14,7.24
2020-10-19,15,7.24
2020-10-19,16,7.25
2020-10-19,17,7.23
2020-10-19,18,7.25
2020-10-19,19,7.22
2020-10-19,20,7.07
2020-10-19,23.5,4.39
2020-10-27,0,8.59
2020-10-27,1,8.6
2020-10-27,2,8.6
2020-10-27,3,8.57
2020-10-27,4,8.56
2020-10-27,5,8.58
2020-10-27,6,8.58
2020-10-27,7,8.59
2020-10-27,8,8.62
2020-10-27,9,8.67
2020-10-27,10,8.67
2020-10-27,11,8.67
2020-10-27,12,8.67
2020-10-27,13,8.67
2020-10-27,14,8.68
2020-10-27,15,8.7
2020-10-27,16,8.69
2020-10-27,17,8.7
2020-10-27,18,8.68
2020-10-27,19,8.68
2020-10-27,20,8.67
2020-10-27,23.5,8.7
2020-11-06,0,10.42
2020-11-06,1,10.42
2020-11-06,2,10.41
2020-11-06,3,10.4
2020-11-06,4,10.28
2020-11-06,5,10.25
2020-11-06,6,10.22
2020-11-06,7,10.21
2020-11-06,8,10.18
2020-11-06,9,10.15
2020-11-06,10,10.13
2020-11-06,11,10.1
2020-11-06,12,9.94
2020-11-06,13,9.88
2020-11-06,14,9.91
2020-11-06,15,9.91
2020-11-06,16,9.91
2020-11-06,17,9.91
2020-11-06,18,9.89
2020-11-06,19,9.79
2020-11-06,20,9.8
2020-11-06,23.5,9.27
2020-11-12,0,10.23
2020-11-12,1,10.21
2020-11-12,2,10.21
2020-11-12,3,10.2
2020-11-12,4,10.18
2020-11-12,5,10.18
2020-11-12,6,10.17
