"uptakeID","sampleID","startDate","depth","treatment","protocol","timePoint","Leu_uptake_pM_per_hour","µgBPP_per_L_hr","µgBCP_per_L_hr"
"BLI20_LEU_055","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.17","direct",NA,1447,5.2,4.47
"BLI20_LEU_056","BLiMMP_sample_0052","2020-09-17",20.1,"ambient","direct",NA,1139,4.09,3.52
"BLI20_LEU_057","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-0.02","direct",NA,2453,8.82,7.58
"BLI20_LEU_058","BLiMMP_sample_0052","2020-09-17",20.1,"ambient","direct",NA,3758,13.51,11.62
"BLI20_LEU_059","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-2","direct",NA,180,0.65,0.56
"BLI20_LEU_060","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-0.02","direct",NA,1968,7.08,6.08
"BLI20_LEU_061","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.017","direct",NA,1707,6.13,5.28
"BLI20_LEU_064","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-1.7","direct",NA,1648,5.92,5.09
"BLI20_LEU_066","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.017","direct",NA,1929,6.93,5.96
"BLI20_LEU_067","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.17","direct",NA,1595,5.73,4.93
"BLI20_LEU_068","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-1.7","direct",NA,815,2.93,2.52
"BLI20_LEU_069","BLiMMP_sample_0052","2020-09-17",20.1,"ambient","direct",NA,1939,6.97,5.99
"BLI20_LEU_070","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.017","direct",NA,1393,5.01,4.3
"BLI20_LEU_071","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-1.7","direct",NA,232,0.83,0.72
"BLI20_LEU_072","BLiMMP_sample_0052","2020-09-17",20.1,"molybdate-0.17","direct",NA,560,2.01,1.73
"BLI20_LEU_073","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-2","direct",NA,1671,6.01,5.16
"BLI20_LEU_074","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-2","direct",NA,1656,5.95,5.12
"BLI20_LEU_075","BLiMMP_sample_0052","2020-09-17",20.1,"glucose-0.02","direct",NA,2286,8.22,7.07
"BLI20_LEU_076","BLiMMP_sample_0053","2020-09-17",14.1,"ambient","direct",NA,1558,5.6,4.81
"BLI20_LEU_077","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-0.02","direct",NA,1875,6.74,5.8
"BLI20_LEU_078","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.17","direct",NA,2792,10.03,8.63
"BLI20_LEU_079","BLiMMP_sample_0053","2020-09-17",14.1,"ambient","direct",NA,707,2.54,2.19
"BLI20_LEU_080","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-2","direct",NA,3668,13.19,11.34
"BLI20_LEU_081","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-0.02","direct",NA,1164,4.18,3.6
"BLI20_LEU_082","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-1.7","direct",NA,300,1.08,0.93
"BLI20_LEU_083","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-1.7","direct",NA,187,0.67,0.58
"BLI20_LEU_085","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-0.02","direct",NA,1235,4.44,3.82
"BLI20_LEU_086","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.17","direct",NA,1851,6.65,5.72
"BLI20_LEU_087","BLiMMP_sample_0053","2020-09-17",14.1,"ambient","direct",NA,2561,9.2,7.92
"BLI20_LEU_089","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-2","direct",NA,227,0.82,0.7
"BLI20_LEU_091","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.017","direct",NA,248,0.89,0.77
"BLI20_LEU_092","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.017","direct",NA,1588,5.71,4.91
"BLI20_LEU_093","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-1.7","direct",NA,683,2.46,2.11
"BLI20_LEU_094","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.017","direct",NA,596,2.14,1.84
"BLI20_LEU_095","BLiMMP_sample_0053","2020-09-17",14.1,"glucose-2","direct",NA,387,1.39,1.2
"BLI20_LEU_096","BLiMMP_sample_0053","2020-09-17",14.1,"molybdate-0.17","direct",NA,1478,5.31,4.57
"BLI21_LEU_001","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t1",4068,14.62,12.58
"BLI21_LEU_002","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t1",4122,14.82,12.74
"BLI21_LEU_003","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t1",4175,15.01,12.91
"BLI21_LEU_025","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t2",3256,11.71,10.07
"BLI21_LEU_026","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t2",4791,17.22,14.81
"BLI21_LEU_027","BLiMMP_sample_0073","2021-09-10",10.8,"molybdate","indirect","t2",4713,16.94,14.57
"BLI21_LEU_004","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t1",3050,10.96,9.43
"BLI21_LEU_005","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t1",3316,11.92,10.25
"BLI21_LEU_006","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t1",3562,12.8,11.01
"BLI21_LEU_028","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t2",2972,10.68,9.19
"BLI21_LEU_029","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t2",2092,7.52,6.47
"BLI21_LEU_030","BLiMMP_sample_0073","2021-09-10",10.8,"ambient","indirect","t2",1856,6.67,5.74
"BLI21_LEU_009","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t1",2287,8.22,7.07
"BLI21_LEU_010","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t1",747,2.69,2.31
"BLI21_LEU_011","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t1",2024,7.28,6.26
"BLI21_LEU_033","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t2",6149,22.1,19.01
"BLI21_LEU_034","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t2",2006,7.21,6.2
"BLI21_LEU_035","BLiMMP_sample_0074","2021-09-10",11.9,"molybdate","indirect","t2",2016,7.25,6.23
"BLI21_LEU_012","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t1",4220,15.17,13.05
"BLI21_LEU_013","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t1",1363,4.9,4.21
"BLI21_LEU_014","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t1",1126,4.05,3.48
"BLI21_LEU_036","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t2",2145,7.71,6.63
"BLI21_LEU_037","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t2",1579,5.68,4.88
"BLI21_LEU_038","BLiMMP_sample_0074","2021-09-10",11.9,"ambient","indirect","t2",1072,3.85,3.31
"BLI21_LEU_019","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t1",793,2.85,2.45
"BLI21_LEU_020","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t1",743,2.67,2.3
"BLI21_LEU_021","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t1",854,3.07,2.64
"BLI21_LEU_043","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t2",903,3.24,2.79
"BLI21_LEU_044","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t2",675,2.42,2.09
"BLI21_LEU_045","BLiMMP_sample_0077","2021-09-10",19.9,"molybdate","indirect","t2",1252,4.5,3.87
"BLI21_LEU_022","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t1",1072,3.86,3.32
"BLI21_LEU_023","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t1",606,2.18,1.87
"BLI21_LEU_024","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t1",1169,4.2,3.61
"BLI21_LEU_046","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t2",924,3.32,2.85
"BLI21_LEU_047","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t2",742,2.67,2.29
"BLI21_LEU_048","BLiMMP_sample_0077","2021-09-10",19.9,"ambient","indirect","t2",2915,10.48,9.01
"BLI21_LEU_049","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",5436,19.54,16.8
"BLI21_LEU_061","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",2755,9.9,8.52
"BLI21_LEU_073","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",3371,12.12,10.42
"BLI21_LEU_050","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",4907,17.64,15.17
"BLI21_LEU_062","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",3587,12.89,11.09
"BLI21_LEU_074","BLiMMP_sample_0081","2021-10-14",14.2,"molybdate","indirect","t1",4037,14.51,12.48
"BLI21_LEU_051","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",5567,20.01,17.21
"BLI21_LEU_063","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",5060,18.19,15.64
"BLI21_LEU_075","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",6846,24.61,21.16
"BLI21_LEU_052","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",5489,19.73,16.97
"BLI21_LEU_064","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",5458,19.62,16.87
"BLI21_LEU_076","BLiMMP_sample_0081","2021-10-14",14.2,"ambient","indirect","t1",5743,20.64,17.75
"BLI21_LEU_053","BLiMMP_sample_0082","2021-10-14",15.2,"molybdate","indirect","t1",1760,6.33,5.44
"BLI21_LEU_065","BLiMMP_sample_0082","2021-10-14",15.2,"molybdate","indirect","t1",593,2.13,1.83
"BLI21_LEU_077","BLiMMP_sample_0082","2021-10-14",15.2,"molybdate","indirect","t1",1316,4.73,4.07
"BLI21_LEU_054","BLiMMP_sample_0082","2021-10-14",15.2,"molybdate","indirect","t1",1028,3.7,3.18
