"incubationID","sampleID","tripID","startDate","dateKilled","timeKilled","depth","t","durationInDays","durationSinceTimepointInDays","filtered","amendment","treatment","MeHg_ambient_ppt","MeHg_198_ppt","MeHg_204_ppt","MeHg_amb_DDL","MeHg_excess_DDL","MeHg_DOA","MeHg_198_above_DDL","bottleID_MeHg","HgT_ambient_ppt","HgT_198_ppt","HgT_204_ppt","HgT_excess_DDL","HgT_DOA","bottleID_HgT","percent_amb_MeHg","percent_198_MeHg","percent_204_MeHg"
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:47",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",0.689,-0.003,0.961,0.0176288371379414,0.0109502706680475,2020-11-12,FALSE,"MSC587AR",2.105,0.788,0.99,0.072,"2021-02-23","MSC587AR",32.7315914489311,-0.380710659898477,97.0707070707071
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:42",20.7,"t1",0.871528,0.871528,"no","unamended","unfiltered-unamended",0.54,0.087,0.663,0.092104189997224,0.00676345112097668,2021-01-15,TRUE,"MSC726AV",1.766,0.672,0.95,0.044,"2021-02-20","MSC726AV",30.5775764439411,12.9464285714286,69.7894736842105
"BLI20_MA_001","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:06",20.7,"t2",3.471528,2.6,"no","unamended","unfiltered-unamended",0.602,0.203,0.7,0.0176288371379414,0.00957179343896595,2020-11-12,TRUE,"MSC746AV",3.794,0.373,0.753,0.118,"2021-02-22","MSC746AV",15.8671586715867,54.4235924932976,92.9614873837981
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:43",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.701,0,0.983,0.0687739785088757,0.00636999020630709,2021-01-13,FALSE,"MSC586AR",3.052,0.862,1.075,0.086,"2021-02-04","MSC586AR",22.9685452162516,0,91.4418604651163
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:45",20.7,"t1",0.876389,0.876389,"no","molybdate","unfiltered-molybdate",0.693,0.031,0.874,0.092104189997224,0.00867950614242632,2021-01-15,TRUE,"MSC727AV",1.948,0.791,0.943,0.058,"2021-02-19","MSC727AV",35.5749486652977,3.91908975979772,92.6829268292683
"BLI20_MA_002","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","12:55",20.7,"t2",3.466667,2.590278,"no","molybdate","unfiltered-molybdate",0.823,0.119,0.954,0.0176288371379414,0.0130765838587454,2020-11-12,TRUE,"MSC745AV",1.732,0.591,0.861,0.059,"2021-02-23","MSC745AV",47.5173210161663,20.1353637901861,110.801393728223
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:40",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",0.513,-0.003,0.71,0.23970539711622,0.00754152436830053,2021-01-14,FALSE,"MSC585AR",2.649,0.79,0.959,0.067,"2021-02-20","MSC585AR",19.365798414496,-0.379746835443038,74.0354535974974
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:32",20.7,"t1",0.869444,0.869444,"no","unamended","unfiltered-unamended",0.492,0.061,0.654,0.23970539711622,0.00721929429231776,2021-01-14,TRUE,"MSC723AV",1.826,0.679,0.914,0.057,"2021-02-22","MSC723AV",26.9441401971522,8.98379970544919,71.5536105032823
"BLI20_MA_003","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:18",20.7,"t2",3.484722,2.615278,"no","unamended","unfiltered-unamended",0.523,0.141,0.602,0.092104189997224,0.00655633368287613,2021-01-15,TRUE,"MSC749AV",1.339,0.472,0.79,0.04,"2021-02-19","MSC749AV",39.058999253174,29.8728813559322,76.2025316455696
"BLI20_MA_004","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:53",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.58,0,0.868,0.23970539711622,0.00851220119875711,2021-01-14,FALSE,"MSC589AR",2.801,0.815,0.957,0.087,"2021-02-22","MSC589AR",20.706890396287,0,90.7001044932079
"BLI20_MA_004","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:35",20.7,"t1",0.8625,0.8625,"no","molybdate","unfiltered-molybdate",0.612,0.024,0.879,0.0687739785088757,0.00555788282422268,2021-01-13,TRUE,"MSC724AV",1.966,0.788,0.982,0.042,"2021-02-03","MSC724AV",31.1291963377416,3.04568527918782,89.5112016293279
"BLI20_MA_004","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:10",20.7,"t2",3.470139,2.607639,"no","molybdate","unfiltered-molybdate",0.792,0.102,0.818,0.092104189997224,0.00992611606617787,2021-01-15,TRUE,"MSC747AV",1.857,0.601,0.854,0.055,"2021-02-19","MSC747AV",42.6494345718901,16.9717138103161,95.7845433255269
"BLI20_MA_005","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:58",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",0.666,0.003,0.905,0.0176288371379414,0.0105771205827748,2020-11-12,FALSE,"MSC590AR",2.767,0.699,0.921,0.086,"2021-02-22","MSC590AR",24.0693892302132,0.429184549356223,98.2627578718784
"BLI20_MA_005","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:48",20.7,"t1",0.868056,0.868056,"no","unamended","unfiltered-unamended",0.702,0.077,0.839,0.0176288371379414,0.0111533312922958,2020-11-12,TRUE,"MSC728AV",1.784,0.595,0.856,0.055,"2021-02-22","MSC728AV",39.3497757847534,12.9411764705882,98.0140186915888
"BLI20_MA_005","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","12:49",20.7,"t2",3.452083,2.584028,"no","unamended","unfiltered-unamended",0.556,0.187,0.575,0.23970539711622,0.00817314175148438,2021-01-14,TRUE,"MSC744AV",2.986,0.438,0.799,0.093,"2021-02-22","MSC744AV",18.6202277294039,42.6940639269406,71.964956195244
"BLI20_MA_006","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","02:01",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.753,-0.001,0.933,0.0176288371379414,0.0119697231297133,2020-11-12,FALSE,"MSC591AR",1.767,0.763,0.897,0.055,"2021-02-22","MSC591AR",42.6146010186757,-0.131061598951507,104.013377926421
"BLI20_MA_006","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:50",20.7,"t1",0.867361,0.867361,"no","molybdate","unfiltered-molybdate",0.734,0.022,0.893,0.0176288371379414,0.0116691528601018,2020-11-12,TRUE,"MSC729AV",1.692,0.678,0.861,0.058,"2021-02-23","MSC729AV",43.3806146572104,3.24483775811209,103.716608594657
"BLI20_MA_006","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","12:45",20.7,"t2",3.447222,2.579861,"no","molybdate","unfiltered-molybdate",1.535,0.099,0.902,0.092104189997224,0.0192216749054483,2021-01-15,TRUE,"MSC743AV",4.599,0.587,0.858,0.137,"2021-02-19","MSC743AV",33.3768210480539,16.8654173764906,105.128205128205
"BLI20_MA_007","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:50",20.7,"t0",0,0,"no","unamended","unfiltered-unamended",1.064,0.001,0.993,0.0176288371379414,0.0169108197903604,2020-11-12,FALSE,"MSC588AR",2.344,0.688,0.884,0.08,"2021-02-23","MSC588AR",45.3924914675768,0.145348837209302,112.330316742081
"BLI20_MA_007","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:38",20.7,"t1",0.866667,0.866667,"no","unamended","unfiltered-unamended",0.484,0.06,0.658,0.23970539711622,0.00710299137572677,2021-01-14,TRUE,"MSC725AV",1.756,0.72,0.935,0.044,"2021-02-20","MSC725AV",27.5626423690205,8.33333333333333,70.3743315508021
"BLI20_MA_007","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:15",20.7,"t2",3.475694,2.609028,"no","unamended","unfiltered-unamended",0.691,0.229,0.757,0.0176288371379414,0.0109767694268774,2020-11-12,TRUE,"MSC748AV",1.41,0.387,0.733,0.048,"2021-02-23","MSC748AV",49.0070921985816,59.1731266149871,103.274215552524
"BLI20_MA_008","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:26",20.7,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.707,-0.003,0.826,0.092104189997224,0.00885317954418649,2021-01-15,FALSE,"MSC582AR",1.728,0.865,0.888,0.052,"2021-02-19","MSC582AR",40.9143518518518,-0.346820809248555,93.018018018018
"BLI20_MA_008","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:20",20.7,"t1",0.870833,0.870833,"no","molybdate","unfiltered-molybdate",0.565,0.012,0.71,0.23970539711622,0.00829107815859588,2021-01-14,TRUE,"MSC720AV",1.916,0.748,0.842,0.048,"2021-02-20","MSC720AV",29.4885177453027,1.60427807486631,84.3230403800475
"BLI20_MA_008","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:30",20.7,"t2",3.502778,2.631944,"no","molybdate","unfiltered-molybdate",0.749,0.078,0.795,0.0176288371379414,0.0119033181337179,2020-11-12,TRUE,"MSC572AV",1.735,0.625,0.76,0.059,"2021-02-23","MSC572AV",43.1700288184438,12.48,104.605263157895
"BLI20_MA_009","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:37",20.7,"t0",0,0,"yes","unamended","filtered-unamended",0.667,0,1.021,0.0176288371379414,0.0105949665621166,2020-11-12,FALSE,"MSC584AR",2.734,0.776,0.954,0.093,"2021-02-23","MSC584AR",24.3964886613021,0,107.023060796646
"BLI20_MA_009","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:28",20.7,"t1",0.86875,0.86875,"yes","unamended","filtered-unamended",0.436,-0.001,0.674,0.23970539711622,0.00640434588012618,2021-01-14,FALSE,"MSC722AV",1.765,0.686,0.914,0.055,"2021-02-22","MSC722AV",24.7025495750708,-0.145772594752187,73.7417943107221
"BLI20_MA_009","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:23",20.7,"t2",3.490278,2.621528,"yes","unamended","filtered-unamended",0.248,0.001,0.39,0.23970539711622,0.00364221278892429,2021-01-14,FALSE,"MSC574AV",1.749,0.472,0.732,0.054,"2021-02-22","MSC574AV",14.1795311606632,0.211864406779661,53.2786885245902
"BLI20_MA_010","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","01:34",20.7,"t0",0,0,"yes","unamended","filtered-unamended",0.541,-0.001,0.835,0.0687739785088757,0.0049115238270971,2021-01-13,FALSE,"MSC583AR",2.764,0.76,0.984,0.078,"2021-02-04","MSC583AR",19.5730824891462,-0.131578947368421,84.8577235772358
"BLI20_MA_010","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-04","22:23",20.7,"t1",0.867361,0.867361,"yes","unamended","filtered-unamended",0.413,0.002,0.699,0.23970539711622,0.00607169904197494,2021-01-14,FALSE,"MSC721AV",1.797,0.721,0.925,0.045,"2021-02-20","MSC721AV",22.9827490261547,0.277392510402219,75.5675675675676
"BLI20_MA_010","BLiMMP_sample_0046","BLiMMP_trip_010","2020-09-02","2020-09-07","13:27",20.7,"t2",3.495139,2.627778,"yes","unamended","filtered-unamended",0.229,0.002,0.392,0.23970539711622,0.00336185410190596,2021-01-14,FALSE,"MSC573AV",1.509,0.478,0.696,0.047,"2021-02-22","MSC573AV",15.1756129887343,0.418410041841004,56.3218390804598
"BLI20_MA_011","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","01:03",15.5,"t0",0,0,"no","unamended","unfiltered-unamended",0.412,0,0.875,0.0176288371379414,0.0065530606082929,2020-11-12,FALSE,"MSC581AR",2.875,0.681,0.908,0.098,"2021-02-23","MSC581AR",14.3304347826087,0,96.3656387665198
"BLI20_MA_011","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:32",15.5,"t1",0.811806,0.811806,"no","unamended","unfiltered-unamended",0.304,0.029,0.623,0.092104189997224,0.00380400184335133,2021-01-15,TRUE,"MSC702AV",1.346,0.627,0.813,0.034,"2021-02-20","MSC702AV",22.5854383358098,4.62519936204147,76.629766297663
"BLI20_MA_011","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:26",15.5,"t2",3.474306,2.6625,"no","unamended","unfiltered-unamended",0.273,0.08,0.527,0.23970539711622,0.00401012545488033,2021-01-14,TRUE,"MSC741AV",1.022,0.46,0.726,0.032,"2021-02-22","MSC741AV",26.7123287671233,17.3913043478261,72.5895316804408
"BLI20_MA_012","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","01:00",15.5,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.498,-0.002,0.854,0.092104189997224,0.00624380737439355,2021-01-15,FALSE,"MSC580AR",2.768,0.717,0.883,0.07,"2021-02-20","MSC580AR",17.9913294797688,-0.278940027894003,96.7157417893545
"BLI20_MA_012","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:55",15.5,"t1",0.829861,0.829861,"no","molybdate","unfiltered-molybdate",0.382,0.02,0.706,0.23970539711622,0.0056083813054767,2021-01-14,TRUE,"MSC709AV",1.368,0.639,0.855,0.034,"2021-02-20","MSC709AV",27.9239766081871,3.12989045383412,82.5730994152047
"BLI20_MA_012","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","11:51",15.5,"t2",3.452083,2.622222,"no","molybdate","unfiltered-molybdate",0.483,0.064,0.77,0.0176288371379414,0.00767337142527259,2020-11-12,TRUE,"MSC733AV",1.307,0.516,0.748,0.041,"2021-02-22","MSC733AV",36.9548584544759,12.4031007751938,102.941176470588
"BLI20_MA_013","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:50",15.5,"t0",0,0,"no","unamended","unfiltered-unamended",0.359,-0.001,0.737,0.092104189997224,0.00449212157865311,2021-01-15,FALSE,"MSC963AR",2.27,0.743,0.935,0.068,"2021-02-19","MSC963AR",15.8149779735683,-0.134589502018843,78.8235294117647
"BLI20_MA_013","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:52",15.5,"t1",0.834722,0.834722,"no","unamended","unfiltered-unamended",0.353,0.049,0.692,0.092104189997224,0.00442039478933357,2021-01-15,TRUE,"MSC708AV",1.235,0.615,0.856,0.031,"2021-02-20","MSC708AV",28.582995951417,7.96747967479675,80.8411214953271
"BLI20_MA_013","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","11:56",15.5,"t2",3.4625,2.627778,"no","unamended","unfiltered-unamended",0.384,0.14,0.659,0.0176288371379414,0.00609729163628451,2020-11-12,TRUE,"MSC734AV",1.129,0.451,0.727,0.039,"2021-02-23","MSC734AV",34.0124003542958,31.0421286031042,90.646492434663
"BLI20_MA_014","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:54",15.5,"t0",0,0,"no","molybdate","unfiltered-molybdate",1.252,-0.002,0.76,0.23970539711622,0.0183838091172864,2021-01-14,FALSE,"MSC954AR",2.745,0.679,0.84,0.085,"2021-02-22","MSC954AR",45.6102003642987,-0.294550810014728,90.4761904761905
"BLI20_MA_014","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:36",15.5,"t1",0.820833,0.820833,"no","molybdate","unfiltered-molybdate",0.313,0.023,0.649,0.23970539711622,0.00459539615486495,2021-01-14,TRUE,"MSC703AV",1.434,0.584,0.815,0.045,"2021-02-22","MSC703AV",21.8270571827057,3.93835616438356,79.6319018404908
"BLI20_MA_014","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:16",15.5,"t2",3.473611,2.652778,"no","molybdate","unfiltered-molybdate",0.487,0.06,0.742,0.0687739785088757,0.00442314866335833,2021-01-13,TRUE,"MSC739AV",1.231,0.49,0.695,0.026,"2021-02-03","MSC739AV",39.5613322502031,12.2448979591837,106.762589928058
"BLI20_MA_015","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:46",15.5,"t0",0,0,"no","unamended","unfiltered-unamended",0.509,0.002,0.752,0.23970539711622,0.00748117965511734,2021-01-14,FALSE,"MSC955AR",2.278,0.756,0.922,0.071,"2021-02-22","MSC955AR",22.3441615452151,0.264550264550265,81.5618221258134
"BLI20_MA_015","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:50",15.5,"t1",0.836111,0.836111,"no","unamended","unfiltered-unamended",0.315,0.05,0.699,0.092104189997224,0.00395160309300295,2021-01-15,TRUE,"MSC707AV",1.422,0.643,0.91,0.036,"2021-02-20","MSC707AV",22.1518987341772,7.77604976671851,76.8131868131868
"BLI20_MA_015","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:05",15.5,"t2",3.471528,2.635417,"no","unamended","unfiltered-unamended",0.383,0.114,0.634,0.0176288371379414,0.00609368290663065,2020-11-12,TRUE,"MSC736AV",1.151,0.441,0.705,0.039,"2021-02-23","MSC736AV",33.2754126846221,25.8503401360544,89.9290780141844
"BLI20_MA_016","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:37",15.5,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.377,-0.004,0.778,0.23970539711622,0.00553701490270934,2021-01-14,FALSE,"MSC967AR",2.569,0.789,0.918,0.08,"2021-02-22","MSC967AR",14.674970805761,-0.506970849176172,84.7494553376906
"BLI20_MA_016","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:40",15.5,"t1",0.835417,0.835417,"no","molybdate","unfiltered-molybdate",0.331,0.019,0.662,0.23970539711622,0.00486112232570062,2021-01-14,TRUE,"MSC704AV",1.412,0.613,0.738,0.044,"2021-02-22","MSC704AV",23.4419263456091,3.09951060358891,89.7018970189702
"BLI20_MA_016","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:13",15.5,"t2",3.483333,2.647917,"no","molybdate","unfiltered-molybdate",0.431,0.047,0.733,0.092104189997224,0.00540259686617015,2021-01-15,TRUE,"MSC738AV",1.323,0.562,0.806,0.033,"2021-02-20","MSC738AV",32.5774754346183,8.36298932384341,90.9429280397022
"BLI20_MA_017","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:42",15.5,"t0",0,0,"no","unamended","unfiltered-unamended",0.474,-0.001,0.786,0.0176288371379414,0.00753385925250504,2020-11-12,FALSE,"MSC966AR",2.417,0.661,0.779,0.082,"2021-02-23","MSC966AR",19.6110881257758,-0.151285930408472,100.898587933248
"BLI20_MA_017","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:43",15.5,"t1",0.834028,0.834028,"no","unamended","unfiltered-unamended",0.326,0.035,0.534,0.23970539711622,0.00479475227255358,2021-01-14,TRUE,"MSC705AV",1.312,0.585,0.734,0.041,"2021-02-22","MSC705AV",24.8475609756098,5.98290598290598,72.7520435967303
"BLI20_MA_017","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:00",15.5,"t2",3.470833,2.636806,"no","unamended","unfiltered-unamended",0.389,0.112,0.572,0.0176288371379414,0.00618885223341043,2020-11-12,TRUE,"MSC735AV",1.098,0.439,0.654,0.034,"2021-02-22","MSC735AV",35.4280510018215,25.5125284738041,87.4617737003058
