"date","depth","corewater","replicate","DGM_NG.L","DGM_NG.L_df","DOC_MG.L","DOC_MG.L_df","Fe_diss_ppm","Fe_diss_ppm_df","Fe_part_ppm","Fe_part_ppm_df","FiHg_NG.L","FiHg_NG.L_df","FMHG_NG.L","FMHG_NG.L_df","FTHG_NG.L","FTHG_NG.L_df","Mn_diss_ppm","Mn_diss_ppm_df","Mn_part_ppm","Mn_part_ppm_df","perFMHG","perFMHG_df","perPMHG","perPMHG_df","PiHG_NG.G","PiHG_NG.G_df","PiHg_NG.L","PiHg_NG.L_df","PMHG_NG.G","PMHG_NG.G_df","PMHG_NG.L","PMHG_NG.L_df","PTHG_NG.G","PTHG_NG.G_df","PTHG_NG.L","PTHG_NG.L_df","SPM_MG.L","SPM_MG.L_df","sulfate_ppm","sulfate_ppm_df","sulfide_ppm","sulfide_ppm_df"
"2020-08-14",15.5,FALSE,1,NA,NA,"4.64","NONE","0.0065","NONE","0.0137","NONE","0.28",NA,"0.5","NONE","0.78","NONE","0.2662","NONE","0.01","NONE","64.1","NONE","21.9","NONE",NA,NA,"0.257",NA,NA,NA,"0.072","NONE",NA,NA,"0.329","NONE",NA,NA,"15.580932","NONE","0.426398","NONE"
"2020-08-14",19.3,FALSE,1,NA,NA,"4.71","NONE","0.0125","NONE","0.0098","NONE","0.24",NA,"0.84","NONE","1.08","NONE","0.3282","NONE","0.0301","NONE","77.8","NONE","30.6","NONE",NA,NA,"0.259",NA,NA,NA,"0.114","NONE",NA,NA,"0.373","NONE",NA,NA,"12.795192","NONE","1.147748","NONE"
"2020-08-14",21.8,FALSE,1,NA,NA,"4.8","NONE","0.0205","NONE","0.0121","NONE","0.14",NA,"1.1","NONE","1.24","NONE","0.3711","NONE","0","<","88.7","NONE","27.5","NONE",NA,NA,"0.333",NA,NA,NA,"0.126","NONE",NA,NA,"0.459","NONE",NA,NA,"10.355268","NONE","1.917188","NONE"
"2020-08-14",23.23,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.28",NA,"0.77","NONE","1.05","NONE",NA,NA,NA,NA,"73.3","NONE","26","NONE",NA,NA,"1.021",NA,NA,NA,"0.359","NONE",NA,NA,"1.38","NONE",NA,NA,"17.156316","NONE","0.8015","NONE"
"2020-08-14",23.41,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.26",NA,"0.75","NONE","1.01","NONE",NA,NA,NA,NA,"74.3","NONE","28","NONE",NA,NA,"1.101",NA,NA,NA,"0.429","NONE",NA,NA,"1.53","NONE",NA,NA,"12.43977","NONE","0.91371","NONE"
"2020-08-14",23.6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.28",NA,"0.76","NONE","1.04","NONE",NA,NA,NA,NA,"73.1","NONE","25","NONE",NA,NA,"1.222",NA,NA,NA,"0.408","NONE",NA,NA,"1.63","NONE",NA,NA,"11.14296","NONE","1.461936","NONE"
"2020-08-14",23.8,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.8","NONE","1","NONE",NA,NA,NA,NA,"80","NONE","23.2","NONE",NA,NA,"1.275",NA,NA,NA,"0.385","NONE",NA,NA,"1.66","NONE",NA,NA,"14.255304","NONE","1.471554","NONE"
"2020-09-02",9.4,FALSE,1,NA,NA,"4.76","NONE","0.0047","NONE","0.0024","NONE","0.1",NA,"0.08","NONE","0.2","NONE","0.1345","NONE","0","<","44.4","NONE","13.6","NONE","55.9","NONE","0.133",NA,"8.8","NONE","0.027","NONE","64.7","NONE","0.147","NONE","2.3162","NONE","17.828736","NONE","0.1724828","NONE"
"2020-09-02",9.4,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,"0.12",NA,"0.08","NONE","0.18","NONE",NA,NA,NA,NA,"40","NONE","18.4","NONE","51.8","NONE","0.12",NA,"11.7","NONE","0.021","NONE","63.5","NONE","0.154","NONE","2.3794","NONE",NA,NA,NA,NA
"2020-09-02",11,FALSE,1,NA,NA,"4.43","NONE","0.0045","NONE","0.0153","NONE","0.18",NA,"0.18","NONE","0.36","NONE","0.1484","NONE","0.0191","NONE","50","NONE","24.7","NONE","61.8","NONE","0.128",NA,"20.3","NONE","0.042","NONE","82.1","NONE","0.17","NONE","2.0698","NONE","19.298454","NONE","0.503342","NONE"
"2020-09-02",13.2,FALSE,1,NA,NA,"4.92","NONE","0.0059","NONE","0.0417","NONE","0.14",NA,"0.36","NONE","0.5","NONE","0.1876","NONE","0.03","NONE","72","NONE","29.7","NONE","121.6","NONE","0.154",NA,"51.3","NONE","0.065","NONE","173","NONE","0.219","NONE","1.2661","NONE","19.50018","NONE","0.73738","NONE"
