"uptakeID","sampleID","depth","startDate"
"BLiMMP_LEU_0001","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0002","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0003","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0004","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0005","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0006","BLiMMP_sample_0021","10.3","2019-07-30"
"BLiMMP_LEU_0007","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0008","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0009","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0010","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0011","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0012","BLiMMP_sample_0025","14","2019-08-21"
"BLiMMP_LEU_0013","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0014","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0015","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0016","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0017","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0018","BLiMMP_sample_0027","11.7","2019-08-21"
"BLiMMP_LEU_0019","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0020","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0021","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0022","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0023","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0024","BLiMMP_sample_0028","10.7","2019-08-21"
"BLiMMP_LEU_0025","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0026","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0027","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0028","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0029","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0030","BLiMMP_sample_0031","11.7","2019-08-30"
"BLiMMP_LEU_0031","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0032","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0033","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0034","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0035","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0036","BLiMMP_sample_0032","14","2019-08-30"
"BLiMMP_LEU_0037","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0038","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0039","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0040","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0041","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0042","BLiMMP_sample_0033","20.1","2019-08-30"
"BLiMMP_LEU_0043","BLiMMP_sample_0034","16.18","2019-10-08"
"BLiMMP_LEU_0044","BLiMMP_sample_0034","16.18","2019-10-08"
"BLiMMP_LEU_0045","BLiMMP_sample_0034","16.18","2019-10-08"
