seqID,scaffoldID,gene_start,gene_end,gene_direction,cluster_ID,taxonomic_assignment,metabolic_assignment,gene_info
BLI20_assembly001_000000010165_1,BLI20_assembly001_000000010165,5000,5743,+,BLI_hgcA_clstr_0018,Firmicutes,FERM,hgcA
BLI20_assembly001_000000010165_2,BLI20_assembly001_000000010165,5760,6080,+,BLI_hgcA_clstr_0018,Firmicutes,FERM,hgcB
BLI20_assembly001_000000010165_3,BLI20_assembly001_000000010165,6118,8226,-,BLI_hgcA_clstr_0018,Firmicutes,FERM,metal_translocating_P_ATPase
BLI20_assembly001_000000010165_4,BLI20_assembly001_000000010165,8232,8621,-,BLI_hgcA_clstr_0018,Firmicutes,FERM,transc_reg_arsR
BLI20_assembly001_000000010165_5,BLI20_assembly001_000000010165,8807,9442,+,BLI_hgcA_clstr_0018,Firmicutes,FERM,NA
BLI21_coassembly_000001026396_1,BLI21_coassembly_000001026396,5935,6051,+,BLI_hgcA_clstr_0070,Chloroflexi,UNK,hgcB
BLI21_coassembly_000001026396_2,BLI21_coassembly_000001026396,5000,5935,+,BLI_hgcA_clstr_0070,Chloroflexi,UNK,hgcA
BLI21_assembly105_000000000105_37,BLI21_assembly105_000000000105,1167,1400,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_38,BLI21_assembly105_000000000105,1412,1831,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_39,BLI21_assembly105_000000000105,1900,2598,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_40,BLI21_assembly105_000000000105,2896,4458,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_41,BLI21_assembly105_000000000105,4604,4996,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_assembly105_000000000105_42,BLI21_assembly105_000000000105,5000,6058,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,hgcA
BLI21_assembly105_000000000105_43,BLI21_assembly105_000000000105,6068,6394,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,hgcB
BLI21_assembly105_000000000105_44,BLI21_assembly105_000000000105,6394,6675,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_45,BLI21_assembly105_000000000105,6836,7012,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_46,BLI21_assembly105_000000000105,7094,9031,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
