"seqID",".","length","reason_for_exclusion","verified_hgcA","cluster_ID","clstr_rep","assemblyID","scaffoldID","taxonomic_assignment","metabolic_assignment","autoclass_phylum","autoclass_class","autoclass_order","autoclass_family","autoclass_genus","autoclass_species","length_of_scaffold","BLI20_MG_001","BLI20_MG_002","BLI20_MG_003","BLI20_MG_004","BLI20_MG_005","BLI21_MG_101","BLI21_MG_102","BLI21_MG_103","BLI21_MG_104","BLI21_MG_105","BLI21_MG_106","BLI21_MG_107","BLI21_MG_108","BLI21_MG_109","BLI21_MG_110","BLI21_MG_111","BLI21_MG_112","BLI20_MT_001","BLI20_MT_002","BLI20_MT_003","BLI20_MT_004","BLI20_MT_005","BLI20_MT_006","BLI20_MT_007","BLI20_MT_008","BLI20_MT_009","BLI20_MT_010","BLI20_MT_011","BLI20_MT_012","BLI21_MT_001","BLI21_MT_002","BLI21_MT_003","BLI21_MT_004","BLI21_MT_005","BLI21_MT_006","BLI21_MT_007","BLI21_MT_008","BLI21_MT_009","BLI21_MT_010","BLI21_MT_011","BLI21_MT_012"
"BLI21_coassembly_000000000444_50","383.6",354,NA,TRUE,"BLI_hgcA_clstr_0023",1,"BLI21_coassembly","BLI21_coassembly_000000000444","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",89969,0.0230668537821863,0.0185866995926071,0.00388862272310008,0.35792854084247,0.0673161386242381,0.000395893516481434,0.0233042436130835,0.0335471229774796,0.0101121993036592,0.139857474636798,0.166245158188432,0.0205345249754112,0.141164000507912,0.000842899078493834,0.112169048020806,0.0363809714585836,0.0931311984478743,0,0,0,0.0500024538965641,0.107092250029652,0.0218170302724845,0,0,0,0,0,0,0,0.0296860423503134,NA,0,0,0.0436098502583617,0,0.0333707980737402,0.0125643992941818,0,0,0
"BLI21_coassembly_000000000579_37","390.2",352,NA,TRUE,"BLI_hgcA_clstr_0034",1,"BLI21_coassembly","BLI21_coassembly_000000000579","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",82000,0.0652754452263247,0.0428480582222113,0.0223087748661156,0.630027794509203,0.106359167092252,0.00138697386571606,0.0300588432638704,0.0521781928910548,0.174289179748231,1.31909065725228,1.03060754753723,0.619136684238809,2.10198349693546,0.00230129831051973,0.827205195388509,0.0801500094865943,0.11661091154362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.025320541219667,0.0324822338886684,0.0352162103820354,0
"BLI21_coassembly_000000000998_49","388.2",328,NA,TRUE,"BLI_hgcA_clstr_0059",1,"BLI21_coassembly","BLI21_coassembly_000000000998","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",67428,0.144145632651696,0.0735410965792348,0.00251569915122631,0.371528885290839,0.0545046549280717,0.0123921128737538,0.461961812344346,1.03932404807471,0.0271403093435067,0.561107193141055,1.36512782430857,0.0320798561097696,0.571432854956417,0.0122668915558645,1.02503658009032,0.557797635473031,1.50468831373399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.028461993628978,0.0431160210946367,0.0485280979719281,0,0,0,0,0,0
"BLI21_coassembly_000000001173_17","381.5",328,NA,TRUE,"BLI_hgcA_clstr_0060",1,"BLI21_coassembly","BLI21_coassembly_000000001173","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",63573,0.0941602563603032,0.0724856737063054,0.00163705936557921,0.0608977060243379,0.00601945595276857,0.00403657548795011,0.134398743050694,0.29998663035735,0.00539881469346834,0.135273577800292,0.407275959282594,0.00585776963838991,0.133518180075933,0.00215470467823236,0.364261629378703,0.107503317571038,0.35187831323915,0,0,0,0,0,0.0241962380477432,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0139360364086817,0.0358179360671664,0,0
"BLI21_coassembly_000000001753_42","384.7",341,NA,TRUE,"BLI_hgcA_clstr_0046",1,"BLI21_coassembly","BLI21_coassembly_000000001753","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",53711,0.0238678871227564,0.0142087787335231,0.00245463759881456,0.271629754400687,0.0317984114813376,0.00170693732977593,0.0475732390940625,0.0425189949707136,0.0269713878316451,0.375316344041274,0.390299346392024,0.0818432167755088,0.514343800019346,0.00106131712492336,0.300286276779856,0.0775229072736991,0.0977219937016606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312251914541644,NA,0,0,0,0,0.0702268296567343,0.039644582626023,0,0,0
"BLI21_coassembly_000000002004_6","382.5",341,NA,TRUE,"BLI_hgcA_clstr_0047",1,"BLI21_coassembly","BLI21_coassembly_000000002004","Kiritimatiellae","KIR","Verrucomicrobia","Unclassified","Unclassified","Unclassified","Unclassified","Verrucomicrobia bacterium",50317,0.00142964557749627,0.00149776902027071,0.000524239687424061,0.0011300270672204,0.000126043160388327,0.0041136714126429,0.143221994771125,0.237006702387812,0.200650818372584,1.39667444222865,1.80291503389556,0.157646971615768,0.902854719376633,0.0022666668110043,1.23242840012641,0.114914225083833,0.341695023441646,0,0,0,0,0,0,0,0,0,0.0382549026588995,0.0492824906058959,0,0.0194621071140093,0,NA,0,0,0.0459377081110901,0.0876656991980384,0.0702268296567343,0.0792891652520459,0.135722139980595,0,0.193418037839978
"BLI21_coassembly_000000003281_15","358.8",351,NA,TRUE,"BLI_hgcA_clstr_0035",1,"BLI21_coassembly","BLI21_coassembly_000000003281","Kiritimatiellae","KIR","Lentisphaerae","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",40550,0.00236873659437723,0.00187509034768587,0.00030630983766862,0.286827620158949,0.051252567692719,0,0.0145163974693998,0.00786364395047827,0.180814210224293,3.06924028869098,0.726346445518671,0.507686814174566,3.84581088235646,0,0.694123479819288,0.0219426873141019,0.017512712594926,0,0,0,0,0,0,0,0,0,0.0367432116658859,0,0,0,0,NA,0,0,0,0.589463221194023,0.135029642131871,0.393971467645334,0.16304384327817,0.10605601190062,0.0696732118288766
"BLI21_coassembly_000000003920_15","413.2",354,NA,TRUE,"BLI_hgcA_clstr_0024",1,"BLI21_coassembly","BLI21_coassembly_000000003920","Firmicutes","FERM","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Unclassified",37079,0.00129399350636295,0.00021432127775292,0.000356463032702239,0.000292470099190976,0.000342818205345478,0,0.00062983643879991,0.00278352236598491,0.0100579369813234,0.0975595554885708,0.255182138077592,0.0169074830571397,0.108972666976624,0,0.20128891304065,0.0009942053625772,0.000770187255674718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"BLI21_coassembly_000000004570_14","406.7",325,NA,TRUE,"BLI_hgcA_clstr_0063",1,"BLI21_coassembly","BLI21_coassembly_000000004570","Desulfobacterota","SRB","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Unclassified","Unclassified","Unclassified",34387,0.0479900231274519,0.104493296157335,0.0109729512233884,0.0223914212384371,0.0402562956895942,0.018457193150486,0.255856586311681,0.0803403281665093,0.0159156738263314,0.0680937122223869,0.043608721883901,0.00757079681613574,0.0881826640957667,0.0178649175708407,0.0415480374257475,0.237910548674472,0.0907438743702702,0.102162294113958,0.231065738646269,0.0467630900590568,0.112755556625396,0.120603558047465,0.0245038508782724,0,0,0,0,0.105385999576753,0.0219103260037474,0.166432162383183,0.266828496108715,NA,0.0288352580617048,0.06554347246215,0,0.0312738904103189,0.0375234599472899,0.0282277124764753,0,0,0.051751742007154
"BLI21_coassembly_000000006149_14","403.6",347,NA,TRUE,"BLI_hgcA_clstr_0039",1,"BLI21_coassembly","BLI21_coassembly_000000006149","Bacteroidetes","RESP","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",29485,0.0239342453111815,0.027270646563454,0.0158592768186064,0.00748453395844831,0.0328147093749481,0.00121632877485405,0.0689936868635309,0.135142468367206,0.0113310289508336,0.125097207954638,0.265310300377679,0.0132831391899031,0.151140233330219,0.00242783656018325,0.185051268870761,0.0664474688781533,0.0802194744833645,0.0931745887074795,0.030167101470606,0.0170178661901952,0.102811909265603,0.165104185030026,0.0224103065893795,0,0,0,0.0373333210771138,0,0,0.0190019798032427,0,NA,0.105221568696403,0,0,0.0285194877418827,0.0685740944760224,0.116158268851862,0,0,0
